CustomerID,JoinDate,Email
1,2025-04-08 06:02:42.975377,user1@example.com
2,2025-08-08 06:02:42.975377,user2@example.com
3,2025-05-18 06:02:42.975377,user3@example.com
4,2025-04-05 06:02:42.975377,user4@example.com
5,2025-01-07 06:02:42.975377,user5@example.com
6,2025-06-18 06:02:42.975377,user6@example.com
7,2025-01-17 06:02:42.975377,user7@example.com
8,2025-12-14 06:02:42.975377,user8@example.com
9,2026-02-05 06:02:42.975377,user9@example.com
10,2024-12-08 06:02:42.975377,user10@example.com
11,2025-10-02 06:02:42.975377,user11@example.com
12,2025-03-25 06:02:42.975377,user12@example.com
13,2025-04-22 06:02:42.975377,user13@example.com
14,2026-01-08 06:02:42.975377,user14@example.com
15,2024-04-24 06:02:42.975377,user15@example.com
16,2024-05-06 06:02:42.975377,user16@example.com
17,2024-03-18 06:02:42.975377,user17@example.com
18,2025-11-01 06:02:42.975377,user18@example.com
19,2025-09-23 06:02:42.975377,user19@example.com
20,2025-11-29 06:02:42.975377,user20@example.com
21,2026-02-16 06:02:42.975377,user21@example.com
22,2025-10-08 06:02:42.975377,user22@example.com
23,2025-02-03 06:02:42.975377,user23@example.com
24,2025-09-24 06:02:42.975377,user24@example.com
25,2024-05-29 06:02:42.975377,user25@example.com
26,2025-06-14 06:02:42.975377,user26@example.com
27,2024-06-16 06:02:42.975377,user27@example.com
28,2026-01-22 06:02:42.975377,user28@example.com
29,2025-03-19 06:02:42.975377,user29@example.com
30,2024-12-31 06:02:42.975377,user30@example.com
31,2024-09-13 06:02:42.975377,user31@example.com
32,2025-09-20 06:02:42.975377,user32@example.com
33,2025-01-30 06:02:42.975377,user33@example.com
34,2025-04-22 06:02:42.975377,user34@example.com
35,2024-03-17 06:02:42.975377,user35@example.com
36,2025-05-28 06:02:42.975377,user36@example.com
37,2025-05-24 06:02:42.975377,user37@example.com
38,2025-05-28 06:02:42.975377,user38@example.com
39,2026-01-21 06:02:42.975377,user39@example.com
40,2025-07-14 06:02:42.975377,user40@example.com
41,2024-11-21 06:02:42.975377,user41@example.com
42,2025-01-17 06:02:42.975377,user42@example.com
43,2025-07-26 06:02:42.975377,user43@example.com
44,2024-04-16 06:02:42.975377,user44@example.com
45,2025-07-03 06:02:42.975377,user45@example.com
46,2025-07-06 06:02:42.975377,user46@example.com
47,2024-08-04 06:02:42.975377,user47@example.com
48,2024-06-06 06:02:42.975377,user48@example.com
49,2024-10-20 06:02:42.975377,user49@example.com
50,2024-11-24 06:02:42.975377,user50@example.com
51,2025-04-24 06:02:42.975377,user51@example.com
52,2025-01-18 06:02:42.975377,user52@example.com
53,2026-02-23 06:02:42.975377,user53@example.com
54,2024-05-17 06:02:42.975377,user54@example.com
55,2024-08-03 06:02:42.975377,user55@example.com
56,2024-06-29 06:02:42.975377,user56@example.com
57,2025-06-23 06:02:42.975377,user57@example.com
58,2024-09-04 06:02:42.975377,user58@example.com
59,2025-02-07 06:02:42.975377,user59@example.com
60,2024-08-29 06:02:42.975377,user60@example.com
61,2024-06-28 06:02:42.975377,user61@example.com
62,2024-05-23 06:02:42.975377,user62@example.com
63,2025-06-26 06:02:42.975377,user63@example.com
64,2024-06-12 06:02:42.975377,user64@example.com
65,2024-07-25 06:02:42.975377,user65@example.com
66,2024-11-28 06:02:42.975377,user66@example.com
67,2025-10-24 06:02:42.975377,user67@example.com
68,2024-05-13 06:02:42.975377,user68@example.com
69,2025-11-05 06:02:42.975377,user69@example.com
70,2024-05-13 06:02:42.975377,user70@example.com
71,2026-02-14 06:02:42.975377,user71@example.com
72,2025-02-09 06:02:42.975377,user72@example.com
73,2026-02-15 06:02:42.975377,user73@example.com
74,2025-05-19 06:02:42.975377,user74@example.com
75,2025-08-25 06:02:42.975377,user75@example.com
76,2024-04-01 06:02:42.975377,user76@example.com
77,2024-09-26 06:02:42.975377,user77@example.com
78,2024-05-30 06:02:42.975377,user78@example.com
79,2024-10-06 06:02:42.975377,user79@example.com
80,2024-05-29 06:02:42.975377,user80@example.com
81,2024-10-22 06:02:42.975377,user81@example.com
82,2024-12-31 06:02:42.975377,user82@example.com
83,2024-04-19 06:02:42.975377,user83@example.com
84,2025-07-22 06:02:42.975377,user84@example.com
85,2025-04-21 06:02:42.975377,user85@example.com
86,2024-09-13 06:02:42.975377,user86@example.com
87,2025-03-20 06:02:42.975377,user87@example.com
88,2024-05-11 06:02:42.975377,user88@example.com
89,2025-04-28 06:02:42.975377,user89@example.com
90,2026-01-11 06:02:42.975377,user90@example.com
91,2024-10-22 06:02:42.975377,user91@example.com
92,2025-07-04 06:02:42.975377,user92@example.com
93,2024-06-08 06:02:42.975377,user93@example.com
94,2025-08-08 06:02:42.975377,user94@example.com
95,2024-10-01 06:02:42.975377,user95@example.com
96,2024-07-15 06:02:42.975377,user96@example.com
97,2025-05-06 06:02:42.975377,user97@example.com
98,2024-03-18 06:02:42.975377,user98@example.com
99,2025-10-30 06:02:42.975377,user99@example.com
100,2024-03-07 06:02:42.975377,user100@example.com
101,2025-07-11 06:02:42.975377,user101@example.com
102,2024-09-17 06:02:42.975377,user102@example.com
103,2025-08-22 06:02:42.975377,user103@example.com
104,2026-02-04 06:02:42.975377,user104@example.com
105,2024-09-01 06:02:42.975377,user105@example.com
106,2025-04-28 06:02:42.975377,user106@example.com
107,2025-05-10 06:02:42.975377,user107@example.com
108,2025-04-25 06:02:42.975377,user108@example.com
109,2024-08-13 06:02:42.975377,user109@example.com
110,2026-01-28 06:02:42.975377,user110@example.com
111,2025-01-24 06:02:42.975377,user111@example.com
112,2025-11-11 06:02:42.975377,user112@example.com
113,2025-07-27 06:02:42.975377,user113@example.com
114,2024-10-07 06:02:42.975377,user114@example.com
115,2025-10-19 06:02:42.975377,user115@example.com
116,2024-12-18 06:02:42.975377,user116@example.com
117,2025-12-07 06:02:42.975377,user117@example.com
118,2025-05-02 06:02:42.975377,user118@example.com
119,2025-12-07 06:02:42.975377,user119@example.com
120,2025-07-22 06:02:42.975377,user120@example.com
121,2025-08-15 06:02:42.975377,user121@example.com
122,2025-03-04 06:02:42.975377,user122@example.com
123,2026-01-30 06:02:42.975377,user123@example.com
124,2025-06-17 06:02:42.975377,user124@example.com
125,2025-01-07 06:02:42.975377,user125@example.com
126,2025-05-20 06:02:42.975377,user126@example.com
127,2024-03-18 06:02:42.975377,user127@example.com
128,2024-10-10 06:02:42.975377,user128@example.com
129,2025-06-28 06:02:42.975377,user129@example.com
130,2024-10-01 06:02:42.975377,user130@example.com
131,2025-05-29 06:02:42.975377,user131@example.com
132,2025-01-11 06:02:42.975377,user132@example.com
133,2024-06-10 06:02:42.975377,user133@example.com
134,2024-10-07 06:02:42.975377,user134@example.com
135,2025-04-24 06:02:42.975377,user135@example.com
136,2025-05-09 06:02:42.975377,user136@example.com
137,2025-04-27 06:02:42.975377,user137@example.com
138,2025-06-23 06:02:42.975377,user138@example.com
139,2025-06-23 06:02:42.975377,user139@example.com
140,2025-01-12 06:02:42.975377,user140@example.com
141,2025-12-18 06:02:42.975377,user141@example.com
142,2024-11-27 06:02:42.975377,user142@example.com
143,2025-01-16 06:02:42.975377,user143@example.com
144,2025-12-15 06:02:42.975377,user144@example.com
145,2025-10-13 06:02:42.975377,user145@example.com
146,2025-07-30 06:02:42.975377,user146@example.com
147,2024-05-16 06:02:42.975377,user147@example.com
148,2026-01-04 06:02:42.975377,user148@example.com
149,2025-08-07 06:02:42.975377,user149@example.com
150,2026-03-03 06:02:42.975377,user150@example.com
151,2024-06-21 06:02:42.975377,user151@example.com
152,2025-11-27 06:02:42.975377,user152@example.com
153,2024-06-30 06:02:42.975377,user153@example.com
154,2025-05-27 06:02:42.975377,user154@example.com
155,2024-06-02 06:02:42.975377,user155@example.com
156,2025-11-13 06:02:42.975377,user156@example.com
157,2025-10-14 06:02:42.975377,user157@example.com
158,2025-04-23 06:02:42.975377,user158@example.com
159,2024-12-26 06:02:42.975377,user159@example.com
160,2024-04-23 06:02:42.975377,user160@example.com
161,2025-07-26 06:02:42.975377,user161@example.com
162,2025-01-29 06:02:42.975377,user162@example.com
163,2025-08-13 06:02:42.975377,user163@example.com
164,2025-11-26 06:02:42.975377,user164@example.com
165,2026-02-14 06:02:42.975377,user165@example.com
166,2025-11-18 06:02:42.975377,user166@example.com
167,2024-03-12 06:02:42.975377,user167@example.com
168,2024-11-21 06:02:42.975377,user168@example.com
169,2025-08-18 06:02:42.975377,user169@example.com
170,2024-07-07 06:02:42.975377,user170@example.com
171,2025-03-19 06:02:42.975377,user171@example.com
172,2024-04-12 06:02:42.975377,user172@example.com
173,2024-07-27 06:02:42.975377,user173@example.com
174,2024-03-17 06:02:42.975377,user174@example.com
175,2025-10-04 06:02:42.975377,user175@example.com
176,2024-08-14 06:02:42.975377,user176@example.com
177,2024-11-11 06:02:42.975377,user177@example.com
178,2026-01-10 06:02:42.975377,user178@example.com
179,2025-07-31 06:02:42.975377,user179@example.com
180,2024-03-27 06:02:42.975377,user180@example.com
181,2024-07-02 06:02:42.975377,user181@example.com
182,2025-05-31 06:02:42.975377,user182@example.com
183,2025-04-29 06:02:42.975377,user183@example.com
184,2024-08-24 06:02:42.975377,user184@example.com
185,2026-01-14 06:02:42.975377,user185@example.com
186,2025-05-26 06:02:42.975377,user186@example.com
187,2025-03-30 06:02:42.975377,user187@example.com
188,2025-05-08 06:02:42.975377,user188@example.com
189,2025-08-18 06:02:42.975377,user189@example.com
190,2024-10-17 06:02:42.975377,user190@example.com
191,2024-12-19 06:02:42.975377,user191@example.com
192,2024-08-04 06:02:42.975377,user192@example.com
193,2024-07-17 06:02:42.975377,user193@example.com
194,2026-01-22 06:02:42.975377,user194@example.com
195,2025-08-25 06:02:42.975377,user195@example.com
196,2025-02-25 06:02:42.975377,user196@example.com
197,2024-08-17 06:02:42.975377,user197@example.com
198,2024-09-05 06:02:42.975377,user198@example.com
199,2024-04-15 06:02:42.975377,user199@example.com
200,2025-01-15 06:02:42.975377,user200@example.com
